"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"mt:tRNA:Arg-TCG",2.22274508383344e-144,1.59390830270248,0.208,0.012,2.84466915829004e-140,"Undifferentiated - 4","mt:tRNA:Arg-TCG"
"CG42258",2.59379667182032e-144,1.13410866897147,0.292,0.048,3.31954098059564e-140,"Undifferentiated - 4","CG42258"
"Neb-cGP",3.0282656170739e-142,0.73780119071615,0.522,0.165,3.87557433673118e-138,"Undifferentiated - 4","Neb-cGP"
"roh",3.17481917716037e-142,0.759870050726503,0.447,0.125,4.06313358292984e-138,"Undifferentiated - 4","roh"
"hoe1",1.29067765462674e-141,1.34598409501097,0.263,0.037,1.6518092623913e-137,"Undifferentiated - 4","hoe1"
"kek3",5.13815258110458e-140,1.54253256503424,0.234,0.025,6.57580767329765e-136,"Undifferentiated - 4","kek3"
"CG12605",5.46228330938833e-139,0.918278546197593,0.368,0.087,6.99063017935519e-135,"Undifferentiated - 4","CG12605"
"dpr17",3.43981876988885e-138,1.40350386961111,0.242,0.029,4.40228006170376e-134,"Undifferentiated - 4","dpr17"
"COX8",4.24526062100429e-138,0.708064829108367,0.599,0.211,5.43308454276129e-134,"Undifferentiated - 4","COX8"
"pasha",2.17580322110104e-137,1.07581407561276,0.278,0.045,2.78459296236512e-133,"Undifferentiated - 4","pasha"
"dsd",1.39059532802211e-136,1.10247023777588,0.261,0.038,1.7796839008027e-132,"Undifferentiated - 4","dsd"
"His4r",3.52322516775831e-135,0.641651043743296,0.685,0.268,4.50902356969708e-131,"Undifferentiated - 4","His4r"
"futsch",4.64507276653486e-135,0.724509825466196,0.837,0.424,5.94476412661131e-131,"Undifferentiated - 4","futsch"
"mts",4.72376575337151e-134,0.685362683360034,0.505,0.161,6.04547541116486e-130,"Undifferentiated - 4","mts"
"shi",2.97839691666684e-132,0.674497463791097,0.536,0.179,3.81175237395022e-128,"Undifferentiated - 4","shi"
"ab",4.76158713874648e-132,1.14503815936974,0.293,0.056,6.09387922016774e-128,"Undifferentiated - 4","ab"
"CG1440",3.02715411475606e-130,1.19040319185783,0.229,0.027,3.87415183606481e-126,"Undifferentiated - 4","CG1440"
"CG7630",4.45928520888575e-130,0.679418095701338,0.603,0.221,5.70699321033198e-126,"Undifferentiated - 4","CG7630"
"PH4alphaEFB",1.64166346599928e-129,1.3081199037749,0.211,0.02,2.10100090378588e-125,"Undifferentiated - 4","PH4alphaEFB"
"Dp",6.23764964986207e-128,0.910131439886513,0.291,0.057,7.98294402189348e-124,"Undifferentiated - 4","Dp"
"Fkbp12",5.32990139839336e-127,0.604507965438854,0.582,0.208,6.82120780966382e-123,"Undifferentiated - 4","Fkbp12"
"GluRIA",3.68070963350341e-126,1.22842872371388,0.26,0.044,4.71057218895767e-122,"Undifferentiated - 4","GluRIA"
"Rgk1",5.45052482781721e-126,1.22890214509412,0.248,0.038,6.97558167464046e-122,"Undifferentiated - 4","Rgk1"
"tnc",1.38756938455482e-125,1.33719322070647,0.238,0.034,1.77581129835326e-121,"Undifferentiated - 4","tnc"
"tun",3.39087882403813e-125,1.14842905292502,0.229,0.03,4.339646719004e-121,"Undifferentiated - 4","tun"
"Sh3beta",4.00664058243643e-125,0.975783968586633,0.273,0.049,5.12769861740214e-121,"Undifferentiated - 4","Sh3beta"
"luna",1.1506868757296e-123,0.719618445728279,0.445,0.141,1.47264906355874e-119,"Undifferentiated - 4","luna"
"SmD3",1.57971944375347e-123,0.95935989976937,0.262,0.046,2.02172494411569e-119,"Undifferentiated - 4","SmD3"
"fkh",5.14909451910855e-123,1.58875414580675,0.219,0.028,6.58981116555513e-119,"Undifferentiated - 4","fkh"
"AhcyL1",8.08283714820475e-123,1.16927287564057,0.214,0.025,1.03444149822724e-118,"Undifferentiated - 4","AhcyL1"
"ND-MWFE",2.60416704242338e-122,0.733874721045732,0.414,0.123,3.33281298089345e-118,"Undifferentiated - 4","ND-MWFE"
"His3.3A",1.82242860554786e-121,0.741068396871781,0.358,0.094,2.33234412938015e-117,"Undifferentiated - 4","His3.3A"
"Ptp99A",1.28057647385113e-120,0.593565564189758,0.561,0.203,1.63888177123467e-116,"Undifferentiated - 4","Ptp99A"
"levy",3.27416689085543e-120,0.662336022260128,0.423,0.128,4.19027878691678e-116,"Undifferentiated - 4","levy"
"Paip2",1.04440048450015e-119,0.918308201542829,0.256,0.045,1.33662374006329e-115,"Undifferentiated - 4","Paip2"
"Wnt4",2.93567916401127e-119,1.24733687655275,0.384,0.121,3.75708219410162e-115,"Undifferentiated - 4","Wnt4"
"Agpat1",1.58612359740835e-118,0.980167414905334,0.254,0.044,2.02992097996321e-114,"Undifferentiated - 4","Agpat1"
"inaE",4.12898864526016e-118,0.834246456447102,0.289,0.061,5.28427966820395e-114,"Undifferentiated - 4","inaE"
"SNRPG",8.73331173312872e-118,0.814074137389552,0.32,0.077,1.11768923560581e-113,"Undifferentiated - 4","SNRPG"
"CG6770",2.439799490226e-116,0.659674708614002,0.359,0.098,3.12245538759123e-112,"Undifferentiated - 4","CG6770"
"Rala",2.4448784113527e-116,0.881475086626421,0.268,0.053,3.12895539084918e-112,"Undifferentiated - 4","Rala"
"pros",2.5727144895618e-116,-0.786381294290903,0.44,0.613,3.29256000374119e-112,"Undifferentiated - 4","pros"
"fok",2.63687860231487e-116,0.899401362604363,0.308,0.073,3.37467723524257e-112,"Undifferentiated - 4","fok"
"Atg13",3.50585680905078e-116,1.15454867295449,0.208,0.025,4.48679554422319e-112,"Undifferentiated - 4","Atg13"
"gprs",1.03277156276877e-115,1.12877243836243,0.216,0.029,1.32174104603148e-111,"Undifferentiated - 4","gprs"
"Tom7",2.0434064811278e-115,0.556557397400475,0.569,0.21,2.61515161454736e-111,"Undifferentiated - 4","Tom7"
"Swip-1",1.13006745592236e-114,1.20333518421289,0.192,0.019,1.44626033008943e-110,"Undifferentiated - 4","Swip-1"
"wds",1.1899862709139e-114,1.24886380619347,0.186,0.017,1.52294442951561e-110,"Undifferentiated - 4","wds"
"Chchd2",7.84236205295636e-114,0.851061170958031,0.274,0.057,1.00366549553735e-109,"Undifferentiated - 4","Chchd2"
"Drak",1.60352895516945e-113,1.21544694191507,0.191,0.019,2.05219635682587e-109,"Undifferentiated - 4","Drak"
"CG45050",2.11157578121662e-113,0.546752564301997,0.605,0.234,2.70239468480103e-109,"Undifferentiated - 4","CG45050"
"Dsp1",6.3354501043646e-113,0.593488761692752,0.696,0.299,8.10810904356582e-109,"Undifferentiated - 4","Dsp1"
"dpr10",5.60750436182906e-112,1.25121278820872,0.203,0.026,7.17648408226884e-108,"Undifferentiated - 4","dpr10"
"Hsp67Bc",6.77368382274926e-112,1.29761850422045,0.193,0.021,8.66896055635451e-108,"Undifferentiated - 4","Hsp67Bc"
"RpS4",1.75775351179678e-110,0.557771355370493,0.838,0.423,2.24957294439752e-106,"Undifferentiated - 4","RpS4"
"Drep2",2.74919067024053e-109,0.646020677129739,0.409,0.129,3.51841421977383e-105,"Undifferentiated - 4","Drep2"
"Nph",1.57926425338252e-108,0.624186918763384,0.36,0.103,2.02114239147895e-104,"Undifferentiated - 4","Nph"
"Mapmodulin",1.61090118085312e-108,0.55316180852398,0.538,0.199,2.06163133125582e-104,"Undifferentiated - 4","Mapmodulin"
"Bap55",6.3007329276288e-107,1.11416828406826,0.19,0.022,8.06367800077934e-103,"Undifferentiated - 4","Bap55"
"dpr13",8.07112620850871e-107,1.0902070465846,0.269,0.061,1.03294273216494e-102,"Undifferentiated - 4","dpr13"
