"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG8671.1",2.45999813849664e-05,-0.213977304109606,0.09,0.19,0.3148305617648,"atlas_48h_alh","CG8671"
"smog.1",2.58549521172797e-05,-0.181236348007999,0.385,0.599,0.330891677196946,"atlas_48h_alh","smog"
"CG11267.1",2.59627248629035e-05,-0.19547659092018,0.141,0.261,0.332270952795439,"atlas_48h_alh","CG11267"
"CG31221",3.03250259631805e-05,-0.246025360096358,0.286,0.458,0.388099682276784,"atlas_48h_alh","CG31221"
"Dscam2.1",3.05118782446226e-05,-0.388903189269519,0.187,0.314,0.39049101777468,"atlas_48h_alh","Dscam2"
"RpLP2.1",3.29460270211181e-05,-0.235739499222023,0.615,0.835,0.421643253816269,"atlas_48h_alh","RpLP2"
"levy.1",3.38251275394515e-05,-0.174786312020556,0.387,0.588,0.4328939822499,"atlas_48h_alh","levy"
"RapGAP1.1",3.38672361225626e-05,-0.45080450786883,0.237,0.371,0.433432887896556,"atlas_48h_alh","RapGAP1"
"Vap33.1",3.49738002555716e-05,-0.187690338700675,0.438,0.654,0.447594695670805,"atlas_48h_alh","Vap33"
"Rack1.2",3.64656110751651e-05,-0.183595959694612,0.293,0.47,0.466686890539962,"atlas_48h_alh","Rack1"
"Ptpmeg2.1",3.71096994041437e-05,-0.195728360481301,0.12,0.228,0.474929932974231,"atlas_48h_alh","Ptpmeg2"
"CanB.1",3.80974375071936e-05,-0.121412223157684,0.164,0.294,0.487571005217064,"atlas_48h_alh","CanB"
"Bsg.1",3.81453554743237e-05,-0.175283824401854,0.41,0.641,0.488184259360395,"atlas_48h_alh","Bsg"
"EndoA.2",4.15996757619669e-05,-0.109814290542448,0.286,0.464,0.532392650401653,"atlas_48h_alh","EndoA"
"Dak1.1",4.17022926927836e-05,-0.193251714766099,0.113,0.219,0.533705941882245,"atlas_48h_alh","Dak1"
"CG32264",4.3540871516787e-05,-0.106733418901579,0.249,0.411,0.557236073671841,"atlas_48h_alh","CG32264"
"Hsc70Cb.2",4.64069833801212e-05,-0.136226784574709,0.348,0.545,0.593916573298791,"atlas_48h_alh","Hsc70Cb"
"ab",4.78240933476104e-05,-0.116839294843531,0.196,0.333,0.612052746662717,"atlas_48h_alh","ab"
"His4r.1",5.60035432149512e-05,-0.286542594173895,0.581,0.773,0.716733346064945,"atlas_48h_alh","His4r"
"msi.1",5.86238718913139e-05,-0.234052620056078,0.403,0.599,0.750268312465035,"atlas_48h_alh","msi"
"Mapmodulin.2",6.14360446212094e-05,-0.100031788799364,0.283,0.455,0.786258499062237,"atlas_48h_alh","Mapmodulin"
"Vha13.1",6.44642888945616e-05,-0.185396973567703,0.346,0.528,0.8250139692726,"atlas_48h_alh","Vha13"
"RpS30.1",6.6895655870719e-05,-0.183067855026411,0.461,0.692,0.856130603833461,"atlas_48h_alh","RpS30"
"cib.2",7.01887694728942e-05,-0.324938051905574,0.551,0.698,0.8982758717141,"atlas_48h_alh","cib"
"rad.1",7.05207552984227e-05,-0.554546302238541,0.177,0.291,0.902524626309213,"atlas_48h_alh","rad"
"ND-ACP",7.20975080571247e-05,-0.134625297950576,0.166,0.289,0.922703908115082,"atlas_48h_alh","ND-ACP"
"GABA-B-R1.1",7.90433801496421e-05,-0.102658756755675,0.115,0.22,1,"atlas_48h_alh","GABA-B-R1"
"RpL11.2",7.92263187799689e-05,-0.209554217443642,0.429,0.635,1,"atlas_48h_alh","RpL11"
"Trim9.2",8.57921799928598e-05,-0.190530110203374,0.23,0.37,1,"atlas_48h_alh","Trim9"
"dsd.1",8.7325780487176e-05,-0.118454827020579,0.134,0.245,1,"atlas_48h_alh","dsd"
"dpr10.1",9.15235947683182e-05,-0.264381557045477,0.164,0.277,1,"atlas_48h_alh","dpr10"
"ND-B16.6.1",0.000103708478147657,-0.113006918519841,0.122,0.226,1,"atlas_48h_alh","ND-B16.6"
"Rdl.1",0.000115002567780797,-0.219897621921394,0.601,0.801,1,"atlas_48h_alh","Rdl"
"RpL5.1",0.000119986741049765,-0.170452042985469,0.394,0.598,1,"atlas_48h_alh","RpL5"
"CG11768.1",0.000121025553557676,-0.400970754736205,0.143,0.243,1,"atlas_48h_alh","CG11768"
"wry.1",0.000133316424510884,-0.132268298233417,0.267,0.417,1,"atlas_48h_alh","wry"
"Srrm234.1",0.000144811807485601,-0.109692709150623,0.124,0.227,1,"atlas_48h_alh","Srrm234"
"Fis1.1",0.000150217230929246,-0.187777119919205,0.182,0.305,1,"atlas_48h_alh","Fis1"
"RpS26.1",0.000160354618532697,-0.204692518640448,0.59,0.794,1,"atlas_48h_alh","RpS26"
"kuz.1",0.000165838211221993,-0.14583983805597,0.189,0.314,1,"atlas_48h_alh","kuz"
"Hsp26.2",0.000209331292008441,-0.340177057272704,0.309,0.46,1,"atlas_48h_alh","Hsp26"
"RpL24.1",0.000269802420221852,-0.183654331166181,0.454,0.661,1,"atlas_48h_alh","RpL24"
"Dop2R",0.000310347668272422,-0.176986584915243,0.159,0.267,1,"atlas_48h_alh","Dop2R"
"Hr38",0.000354938419959291,-0.131171069117097,0.147,0.251,1,"atlas_48h_alh","Hr38"
"RpL14.1",0.00052662881668376,-0.126244791102179,0.502,0.728,1,"atlas_48h_alh","RpL14"
"SoxN.2",0.00054308803611591,-0.22358242186309,0.175,0.279,1,"atlas_48h_alh","SoxN"
"5-HT1A.1",0.000577822284510408,-0.240471193556918,0.297,0.432,1,"atlas_48h_alh","5-HT1A"
"RpL35A.1",0.000605301780688358,-0.104460308181384,0.343,0.518,1,"atlas_48h_alh","RpL35A"
"Stacl.1",0.000615562039668808,-0.146716109292257,0.242,0.369,1,"atlas_48h_alh","Stacl"
"Nrt.2",0.000617251037041994,-0.175893222539186,0.198,0.31,1,"atlas_48h_alh","Nrt"
"RpL19.1",0.000632948858774939,-0.155343731464214,0.521,0.73,1,"atlas_48h_alh","RpL19"
