"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"UbcE2M",1.27279660402892e-09,0.341219524843944,0.23,0.075,1.62892509383622e-05,"12","UbcE2M"
"Maf1",1.31205445172288e-09,0.169085730853733,0.151,0.04,1.67916728731494e-05,"12","Maf1"
"AP-2mu",1.33041899162507e-09,0.226262771688086,0.143,0.037,1.70267022548176e-05,"12","AP-2mu"
"mRpS5.1",1.38405165300628e-09,0.10489624978007,0.286,0.101,1.77130930551744e-05,"12","mRpS5"
"CG4101",1.42326560450252e-09,0.262022909972568,0.27,0.095,1.82149532064233e-05,"12","CG4101"
"Nacalpha.2",1.66432713119801e-09,0.248035233028126,0.563,0.248,2.13000586250721e-05,"12","Nacalpha"
"Sytbeta.2",1.87733807422447e-09,0.493374922359946,0.278,0.101,2.40261726739248e-05,"12","Sytbeta"
"CG12091",2.11604176328541e-09,0.162333877828738,0.151,0.04,2.70811024865267e-05,"12","CG12091"
"Pde9.4",2.21974425868228e-09,-2.39952438823179,0.103,0.33,2.84082870226158e-05,"12","Pde9"
"ND-15.3",2.22246013619295e-09,0.205803001034834,0.484,0.204,2.84430448229974e-05,"12","ND-15"
"TfIIFalpha",2.59185501259268e-09,0.19484203596851,0.167,0.047,3.31705604511612e-05,"12","TfIIFalpha"
"Rack1.4",2.60863010183066e-09,0.455808965561576,0.698,0.362,3.33852480432288e-05,"12","Rack1"
"CG5516",2.64613917332639e-09,0.144460868107872,0.151,0.041,3.38652891402311e-05,"12","CG5516"
"ATPsyngamma.5",2.72546833524585e-09,0.155328154101122,0.603,0.262,3.48805437544763e-05,"12","ATPsyngamma"
"EMC7",2.7407670776557e-09,0.240420340444365,0.159,0.044,3.50763370598376e-05,"12","EMC7"
"ergic53",3.07500861712597e-09,0.12520763086517,0.135,0.034,3.93539602819782e-05,"12","ergic53"
"CCT6",3.08203965714054e-09,0.209504660409038,0.143,0.038,3.94439435320846e-05,"12","CCT6"
"Hsp68",3.31243783170797e-09,0.729022126843108,0.19,0.059,4.23925793701986e-05,"12","Hsp68"
"ND-AGGG.2",3.59682606470354e-09,0.159667551711524,0.484,0.205,4.60321799760759e-05,"12","ND-AGGG"
"slo.2",4.17660496350274e-09,0.143133867082378,0.476,0.201,5.3452190322908e-05,"12","slo"
"RpL9.4",4.49465658492182e-09,0.397350322294524,0.746,0.391,5.75226149738294e-05,"12","RpL9"
"Rpb8",4.68245932299467e-09,0.250909125750639,0.159,0.045,5.99261144156858e-05,"12","Rpb8"
"CG3955",5.16665089827706e-09,0.295280637358445,0.175,0.052,6.61227981961498e-05,"12","CG3955"
"eIF3h",5.54114230056448e-09,0.188785840144885,0.238,0.081,7.09155391626243e-05,"12","eIF3h"
"CRMP",5.73178380804235e-09,0.155393869299238,0.27,0.096,7.3355369175326e-05,"12","CRMP"
"NHP2",5.88343315715683e-09,0.156291558430848,0.19,0.059,7.52961775452932e-05,"12","NHP2"
"hpRNA:CR18854.1",6.25987011071337e-09,0.232758516060737,0.206,0.067,8.01138176769098e-05,"12","hpRNA:CR18854"
"CG42336",6.84352768201042e-09,0.354409350869664,0.151,0.042,8.75834672743693e-05,"12","CG42336"
