"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Nrx-1",6.28653813448874e-84,0.171441961996988,0.364,0.237,8.04551150451868e-80,"atlas_24h_alh","Nrx-1"
"dpr9",1.48156266772199e-83,0.23382713223947,0.598,0.449,1.89610390215061e-79,"atlas_24h_alh","dpr9"
"dally",1.67979931818594e-83,0.217814886954632,0.365,0.242,2.14980716741437e-79,"atlas_24h_alh","dally"
"Ace",3.02458152771971e-83,0.217601221816814,0.329,0.212,3.87085943917568e-79,"atlas_24h_alh","Ace"
"awd.1",5.03420563320788e-83,0.187182484313534,0.626,0.456,6.44277636937945e-79,"atlas_24h_alh","awd"
"Pka-R2",2.95870003500834e-82,0.203570741972098,0.308,0.197,3.78654430480367e-78,"atlas_24h_alh","Pka-R2"
"bun",7.71189994460401e-82,0.177092578131962,0.61,0.442,9.86968954910422e-78,"atlas_24h_alh","bun"
"Pfk.1",2.07507745030196e-80,0.152548709498926,0.382,0.253,2.65568412089645e-76,"atlas_24h_alh","Pfk"
"p23",1.61253097418369e-79,0.20030496191775,0.285,0.183,2.06371714076029e-75,"atlas_24h_alh","p23"
"mtd",1.95137205214165e-79,0.195654719051662,0.303,0.194,2.49736595233089e-75,"atlas_24h_alh","mtd"
"aqz",1.85312423886163e-78,0.172982958102878,0.627,0.459,2.37162840089511e-74,"atlas_24h_alh","aqz"
"ATPsynD",1.79050836536854e-77,0.168374095318734,0.519,0.364,2.29149260599865e-73,"atlas_24h_alh","ATPsynD"
"Fkbp12.1",2.03329934293912e-76,0.14064100045003,0.62,0.439,2.60221649909348e-72,"atlas_24h_alh","Fkbp12"
"sqd.1",2.82800527875626e-76,0.157459541813732,0.337,0.223,3.61928115575226e-72,"atlas_24h_alh","sqd"
"ATPsynbeta.1",1.50830900692403e-73,0.153646960321755,0.393,0.269,1.93033386706137e-69,"atlas_24h_alh","ATPsynbeta"
"CG42258",2.65894093224043e-72,0.175421008414846,0.322,0.212,3.4029126050813e-68,"atlas_24h_alh","CG42258"
"CG14464",1.60842522975682e-70,0.133429356539765,0.433,0.3,2.05846260904278e-66,"atlas_24h_alh","CG14464"
"cdi",1.0904656233868e-69,0.138932449997512,0.482,0.339,1.39557790481043e-65,"atlas_24h_alh","cdi"
"sbb",2.13655089925322e-68,0.154421792639075,0.836,0.688,2.73435784086427e-64,"atlas_24h_alh","sbb"
"CanA-14F",2.17241815667907e-67,0.145687080402299,0.297,0.194,2.78026075691787e-63,"atlas_24h_alh","CanA-14F"
"mei-P26",8.19561052664144e-67,0.132773132517029,0.603,0.443,1.04887423519957e-62,"atlas_24h_alh","mei-P26"
"CG11319",1.63343170760034e-66,0.167823371051492,0.331,0.223,2.09046589938692e-62,"atlas_24h_alh","CG11319"
"CASK",1.13044203294032e-64,0.15428220923451,0.682,0.523,1.44673971375702e-60,"atlas_24h_alh","CASK"
"Top1",1.33501187645564e-59,0.106431191859941,0.385,0.269,1.70854819948793e-55,"atlas_24h_alh","Top1"
"PyK",2.27716861927503e-57,0.107146653783895,0.407,0.29,2.91432039894818e-53,"atlas_24h_alh","PyK"
"fz2",2.30442202237568e-52,0.180745603569842,0.791,0.666,2.9491993042364e-48,"atlas_24h_alh","fz2"
"Mkp3",3.47711257556016e-50,0.139488069424596,0.384,0.28,4.45000867420189e-46,"atlas_24h_alh","Mkp3"
"RpL38",5.14917116889997e-49,0.202940707958017,0.742,0.607,6.58990926195818e-45,"atlas_24h_alh","RpL38"
"IA-2.1",2.38423267834158e-46,0.148930972588547,0.812,0.704,3.05134098174156e-42,"atlas_24h_alh","IA-2"
"Alk",3.6032601546352e-11,-0.105574209148406,0.825,0.682,4.61145234590213e-07,"atlas_24h_alh","Alk"
"Msp300.1",4.38597606545149e-10,-0.211109423307813,0.596,0.468,5.61317216856482e-06,"atlas_24h_alh","Msp300"
"Gapdh1.1",1.28259350005399e-06,-0.290357675358835,0.625,0.486,0.016414631613691,"atlas_24h_alh","Gapdh1"
"Gapdh2",2.94827820994121e-06,-0.445271249771005,0.686,0.577,0.0377320645308276,"atlas_24h_alh","Gapdh2"
"Vap33",6.80095859230731e-05,-0.108846030139632,0.599,0.494,0.87038668064349,"atlas_24h_alh","Vap33"
"Pglym78",8.16617646747923e-05,-0.387612140410541,0.526,0.411,1,"atlas_24h_alh","Pglym78"
"14-3-3epsilon",0.0097049664487394,-0.145346480685436,0.696,0.555,1,"atlas_24h_alh","14-3-3epsilon"
"Hrb27C",0.0132131357114757,-0.153580027582718,0.755,0.654,1,"atlas_24h_alh","Hrb27C"
"Ldh.1",0,-0.51820302413242,0.779,0.948,0,"atlas_48h_alh","Ldh"
"pAbp",0,-0.519346474943831,0.847,0.949,0,"atlas_48h_alh","pAbp"
"fax",0,-0.602539820154364,0.837,0.97,0,"atlas_48h_alh","fax"
"Alk.1",0,-0.67596558293224,0.56,0.825,0,"atlas_48h_alh","Alk"
"Pdp1.1",7.18743033334321e-286,-0.604941551665116,0.316,0.604,9.19847334061264e-282,"atlas_48h_alh","Pdp1"
"kek1.1",1.87218118313955e-283,-1.20860925362846,0.098,0.301,2.396017478182e-279,"atlas_48h_alh","kek1"
"lncRNA:noe.1",2.17733509957256e-281,1.40798653505158,0.419,0.259,2.78655346043296e-277,"atlas_48h_alh","lncRNA:noe"
"CG17124.1",3.53107473951943e-274,-0.718008114049617,0.344,0.623,4.51906945163696e-270,"atlas_48h_alh","CG17124"
"Rgk1.1",1.12597962626942e-268,-0.960885973181841,0.169,0.394,1.44102872569961e-264,"atlas_48h_alh","Rgk1"
"nAChRalpha6.1",1.49129886144957e-263,-0.553996622622553,0.67,0.888,1.90856428288316e-259,"atlas_48h_alh","nAChRalpha6"
"Tsp66E.2",3.45684952953589e-254,-0.914322686205619,0.142,0.357,4.42407602790003e-250,"atlas_48h_alh","Tsp66E"
"Imp",8.89058244523562e-254,-0.382716993839335,0.82,0.967,1.13781674134125e-249,"atlas_48h_alh","Imp"
"CG11000.1",1.88706725819208e-249,-0.918568191264804,0.173,0.386,2.41506867703422e-245,"atlas_48h_alh","CG11000"
"crol.1",2.91075905512345e-238,-0.846482028039013,0.119,0.316,3.72518943874699e-234,"atlas_48h_alh","crol"
