"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RpS20",5.12817562695566e-07,0.238205048951956,0.955,0.997,0.00102563512539113
"vn",5.13095139823599e-07,0.304879109937272,0.31,0.299,0.0010261902796472
"apolpp",5.45724792742111e-07,0.131168807617296,0.245,0.33,0.00109144958548422
"SMC2",6.44863707774707e-07,-0.123614103449078,0.351,0.474,0.00128972741554941
"CG11768",6.47613735650811e-07,0.204861763370636,0.336,0.35,0.00129522747130162
"RASSF8",6.76989294474913e-07,0.185042014510815,0.234,0.289,0.00135397858894983
"Rac2",7.43112668290229e-07,0.571689597437701,0.299,0.364,0.00148622533658046
"CG43795",7.53730781707181e-07,0.130521710648293,0.289,0.328,0.00150746156341436
"CG14566",8.94595450739642e-07,0.124493346536859,0.259,0.325,0.00178919090147928
"Ggamma30A",1.13257029784974e-06,0.749570017022331,0.469,0.545,0.00226514059569947
"aop",1.2364501670456e-06,0.234216231105385,0.221,0.31,0.00247290033409119
"dpr17",1.39514496356914e-06,0.128242572052732,0.331,0.361,0.00279028992713828
"pont",1.40947801531163e-06,-0.40975961638419,0.291,0.391,0.00281895603062327
"egr",1.47160007757424e-06,0.129080696651842,0.268,0.329,0.00294320015514847
"CG15536",1.63798669061062e-06,-0.310003165855285,0.299,0.275,0.00327597338122124
"CD98hc",1.65970878250664e-06,-0.180842714353963,0.368,0.481,0.00331941756501327
"rost",1.72468869453088e-06,0.30480914626222,0.33,0.313,0.00344937738906177
"GILT1",2.13667821276276e-06,0.168294224436559,0.304,0.353,0.00427335642552551
"CG31548",2.22392849978705e-06,-0.116590614202947,0.231,0.315,0.0044478569995741
"CG43324",2.34581781120564e-06,0.147799802474845,0.279,0.343,0.00469163562241127
"CG8034",2.36210604459419e-06,0.137158704554119,0.266,0.315,0.00472421208918837
"CG43902",2.42512855478531e-06,0.153256655526315,0.308,0.308,0.00485025710957061
"cdi",2.59457013096569e-06,0.778858519850271,0.765,0.913,0.00518914026193137
"lncRNA:noe",3.34505965836998e-06,0.205848435265924,0.716,0.882,0.00669011931673995
"CG4860",3.35784232890536e-06,0.145713178069639,0.323,0.32,0.00671568465781072
"cpo",3.44990791354874e-06,0.715076992801284,0.446,0.533,0.00689981582709748
"CycE",4.3172457016469e-06,0.32348833581598,0.715,0.902,0.0086344914032938
"hbn",5.14207455565043e-06,1.4900362700685,0.32,0.375,0.0102841491113009
"slv",7.06452595425968e-06,-0.102786143222297,0.197,0.175,0.0141290519085194
"CG31475",7.77620103235169e-06,0.186702595928342,0.293,0.341,0.0155524020647034
"rad",8.7599589275108e-06,0.184760767499845,0.354,0.375,0.0175199178550216
"MetRS",8.96855694829445e-06,-0.145473100855519,0.29,0.353,0.0179371138965889
"dmrt99B",1.10726758969941e-05,0.600975692010014,0.238,0.191,0.0221453517939882
"RpS2",1.11318611025076e-05,0.334514390461737,0.955,0.997,0.0222637222050153
"RpL27A",1.1252581439791e-05,0.230333172476679,0.953,0.997,0.022505162879582
"hig",1.23630621507291e-05,-0.17905167757306,0.189,0.183,0.0247261243014582
"RhoGEF4",1.30465256811048e-05,-0.175768652711728,0.334,0.319,0.0260930513622096
"CG17715",1.35676907377511e-05,0.12452036202285,0.324,0.387,0.0271353814755022
"RpS14a",1.50420815519513e-05,0.363770587238157,0.905,0.994,0.0300841631039026
"26-29-p",1.50710859382253e-05,0.241614335960919,0.261,0.224,0.0301421718764506
