"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"robo2",1.76602093661745e-08,1.2732232258166,0.275,0.363,3.53204187323491e-05
"Fpps",1.79364203248371e-08,0.117185514407579,0.24,0.309,3.58728406496741e-05
"prim",2.67221408273589e-08,0.155780641156608,0.219,0.287,5.34442816547179e-05
"pnt",2.71013343721702e-08,0.12252793833197,0.265,0.329,5.42026687443405e-05
"Vmat",3.16505747220907e-08,0.18741861702671,0.252,0.318,6.33011494441814e-05
"CAH1",3.21504436048186e-08,0.483230580112631,0.264,0.374,6.43008872096372e-05
"ringer",3.46208167458957e-08,0.104542006311935,0.231,0.308,6.92416334917915e-05
"RpL12",4.06373044782277e-08,0.124815836314325,0.831,0.996,8.12746089564553e-05
"bi",5.45304052635051e-08,1.49039000985478,0.454,0.649,0.00010906081052701
"santa-maria",8.16382829234538e-08,0.408999696158348,0.291,0.382,0.000163276565846908
"ct",9.08098623083613e-08,0.591564381371754,0.641,0.926,0.000181619724616723
"Uhg1",9.33426144328874e-08,0.112118790913056,0.177,0.165,0.000186685228865775
"fzy",1.23222492131668e-07,-0.373561433065974,0.232,0.231,0.000246444984263336
"CG32354",1.28632833867792e-07,0.386081164007908,0.253,0.342,0.000257265667735585
"hbn",1.30445580694395e-07,0.998989122170197,0.321,0.375,0.000260891161388791
"RpL29",1.31783047854354e-07,0.336052453859611,0.987,0.999,0.000263566095708709
"CG7888",1.45363741597821e-07,0.196084976042807,0.272,0.323,0.000290727483195641
"MFS9",1.48593373186815e-07,0.755604973097421,0.342,0.457,0.000297186746373631
"CG7084",1.51996837980434e-07,0.153103806220021,0.266,0.317,0.000303993675960868
"Pyroxd1",2.29532308553343e-07,-0.249269102362515,0.233,0.305,0.000459064617106687
"RpL18A",3.7489379355788e-07,0.437610425393006,0.905,0.993,0.00074978758711576
"Orcokinin",3.75297042894275e-07,0.291110466845567,0.108,0.174,0.00075059408578855
"Btk29A",4.47738220323187e-07,0.289138522952111,0.265,0.273,0.000895476440646375
"GstE2",4.92601149329791e-07,0.17343573613271,0.234,0.305,0.000985202298659582
"sm",6.11077709347218e-07,1.16867120789485,0.461,0.613,0.00122215541869444
"Ldh",6.6831961514064e-07,0.287424241873759,0.677,0.887,0.00133663923028128
"CG15047",7.56053115088416e-07,-0.269000979218127,0.07,0.182,0.00151210623017683
"RpS18",8.49256610841881e-07,0.136569275377991,0.842,0.997,0.00169851322168376
"toc",1.03252951200201e-06,-0.158304040381339,0.194,0.323,0.00206505902400402
"hig",1.29087063461532e-06,0.222774572235978,0.194,0.183,0.00258174126923063
"CG30069",1.47608350256645e-06,0.147244331918495,0.243,0.316,0.00295216700513291
"jdp",1.57738950363932e-06,0.457103113776196,0.339,0.427,0.00315477900727863
"CG9932",1.66140465943967e-06,0.179218074335631,0.215,0.281,0.00332280931887933
"Smn",1.89677192831473e-06,-0.531232614677975,0.204,0.345,0.00379354385662947
"AstA",2.0679469065713e-06,0.158315931389666,0.251,0.316,0.00413589381314259
"Gp150",2.23124196196882e-06,-0.121764001266244,0.135,0.136,0.00446248392393764
"CG12926",2.78502624407565e-06,0.133536571753858,0.201,0.061,0.0055700524881513
"CG1537",2.82513640662384e-06,0.363560087222237,0.266,0.347,0.00565027281324768
"RpS9",3.95906320172088e-06,0.160520435584491,0.845,1,0.00791812640344177
"Ten-a",4.05694738762133e-06,1.18243117733338,0.467,0.645,0.00811389477524266
"dup",5.32568101514039e-06,-0.672250103524129,0.238,0.346,0.0106513620302808
"RpL27",5.5782877869463e-06,0.490922616538229,0.885,0.997,0.0111565755738926
"cv-c",5.84548762894271e-06,0.250554916306234,0.216,0.201,0.0116909752578854
"cdc14",6.89474675539805e-06,0.321126809910677,0.11,0.092,0.0137894935107961
"Nxf3",7.12226207077944e-06,-0.332208646561385,0.128,0.225,0.0142445241415589
"CG43340",7.14667267979544e-06,-0.312860830782173,0.191,0.275,0.0142933453595909
"Psi",7.76028803647147e-06,0.332684910888136,0.286,0.449,0.0155205760729429
"RapGAP1",7.93532279531174e-06,1.8662083775843,0.424,0.443,0.0158706455906235
"hppy",8.43164749890633e-06,0.184375757905758,0.246,0.327,0.0168632949978126
"CG6218",8.45137140367786e-06,0.335305340226198,0.273,0.36,0.0169027428073557
"mRpL39",8.61345490115673e-06,-0.153497984350997,0.254,0.311,0.0172269098023135
"kmr",1.00328352781859e-05,0.601138566152656,0.271,0.356,0.0200656705563718
"rgn",1.11416825894253e-05,0.176968962262356,0.274,0.351,0.0222833651788506
"Gabat",1.14111595431898e-05,0.522930246636288,0.169,0.235,0.0228223190863797
"CG16935",1.19495118022207e-05,-0.106061734799428,0.216,0.209,0.0238990236044415
"Treh",1.213126985704e-05,-0.316844970020408,0.25,0.331,0.0242625397140799
"RpS15Aa",1.31694740068625e-05,0.211110275525779,0.723,0.955,0.026338948013725
"Arp1",1.68250553298733e-05,-0.149108841378714,0.217,0.351,0.0336501106597466
"CG9993",1.71976198520016e-05,-0.644354144055752,0.144,0.279,0.0343952397040032
"AP-1-2beta",1.86334530457624e-05,-0.210960871761284,0.197,0.187,0.0372669060915248
"rho",1.8937564188129e-05,0.406043092337799,0.269,0.356,0.0378751283762579
"DopEcR",2.33685150145973e-05,0.136860651612009,0.242,0.297,0.0467370300291945
"Smyd4-4",2.88845261429602e-05,-0.299680781198613,0.198,0.213,0.0577690522859204
"insb",3.33333124916408e-05,1.59960961861711,0.364,0.353,0.0666666249832816
"Invadolysin",3.41988109170864e-05,0.173978103016569,0.237,0.315,0.0683976218341728
"RpL9",3.80144015561346e-05,0.261254731195438,0.713,0.969,0.0760288031122692
"peb",3.84579248330969e-05,-0.175975556277013,0.194,0.16,0.0769158496661938
"gro",3.93068169693066e-05,0.91154123190951,0.695,0.877,0.0786136339386131
"Cyp4g15",5.868421199972e-05,0.163733645472798,0.212,0.283,0.11736842399944
"CG12065",7.1288962953997e-05,0.484645891928299,0.336,0.425,0.142577925907994
"CG46339",8.42582427302923e-05,0.2601115833545,0.263,0.337,0.168516485460585
"Hsp68",8.76015696270604e-05,1.13267675176134,0.389,0.479,0.175203139254121
"grn",0.000125508003521758,1.14913372517348,0.267,0.348,0.251016007043516
"CG13029",0.000160129658523191,-0.607787943459582,0.184,0.307,0.320259317046382
"ect",0.00016045321640128,0.125929958214681,0.287,0.315,0.320906432802559
"CG42450",0.000163005308170983,0.257448953893193,0.189,0.166,0.326010616341967
"AstC-R2",0.000185633362928734,0.169620610075827,0.24,0.29,0.371266725857467
"CG31663",0.00021871071695338,0.194348511489575,0.237,0.294,0.437421433906759
"CG7182",0.000232099303799803,-0.429322944316365,0.264,0.291,0.464198607599606
"SelG",0.000277601032599667,0.301166083359794,0.159,0.23,0.555202065199334
"Ptpa",0.00028560384525297,-0.183388868202642,0.15,0.162,0.57120769050594
"Mcm2",0.0002995644077714,-0.488881388336931,0.209,0.308,0.599128815542799
"CG8861",0.000305079614413823,0.10621586089572,0.267,0.323,0.610159228827646
"RpL11",0.000336840414277557,0.309884902420951,0.844,0.996,0.673680828555114
"Hmx",0.00044426328796623,1.35898814042247,0.368,0.44,0.888526575932461
"lncRNA:CR40469",0.000455623196652689,0.115859478352037,0.88,0.99,0.911246393305378
"eEF1alpha1",0.00051557271372318,0.285951550384444,0.903,0.998,1
"Mhc",0.000518677592999748,0.130273063118274,0.288,0.318,1
"RpS19a",0.000538695281922211,0.29891721280651,0.753,0.986,1
