"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG41128",7.75632327196267e-31,1.0135577417722,0.453,0.232,9.92654252345782e-27,"atlas_1h_alh","CG41128"
"Gs1l",1.22686492973598e-30,1.03610256299545,0.127,0.027,1.57014173707611e-26,"atlas_1h_alh","Gs1l"
"lola",1.47069475535579e-30,-1.80475866044416,0.093,0.339,1.88219514790434e-26,"atlas_1h_alh","lola"
"CG4409",1.57188414993368e-30,1.10186935406684,0.463,0.244,2.01169733508512e-26,"atlas_1h_alh","CG4409"
"mRpS14",2.55825867099837e-30,1.11670145983162,0.242,0.084,3.27405944714371e-26,"atlas_1h_alh","mRpS14"
"VhaM9.7-b",2.64701427647583e-30,1.06172979941931,0.345,0.15,3.38764887103376e-26,"atlas_1h_alh","VhaM9.7-b"
"br",2.81993060864256e-30,-2.11847532374133,0.024,0.252,3.60894719294075e-26,"atlas_1h_alh","br"
"CG5065",5.16344996723073e-30,1.20320279979142,0.291,0.115,6.60818326806189e-26,"atlas_1h_alh","CG5065"
"santa-maria",7.31677807180153e-30,-1.40375484337534,0.23,0.477,9.36401257629159e-26,"atlas_1h_alh","santa-maria"
"CG42806",7.55023053530696e-30,-1.7899516128111,0.071,0.31,9.66278503908584e-26,"atlas_1h_alh","CG42806"
"wrapper",4.43161409684345e-29,-1.40964560219329,0.188,0.438,5.67157972114025e-25,"atlas_1h_alh","wrapper"
"ND-13A",6.20405988079772e-29,0.999261919438156,0.265,0.099,7.93995583544493e-25,"atlas_1h_alh","ND-13A"
"mnd",7.24995282515475e-29,0.883101970623646,0.796,0.643,9.27848962563305e-25,"atlas_1h_alh","mnd"
"CG10863",7.98076018638715e-29,1.11848584690753,0.244,0.089,1.02137768865383e-24,"atlas_1h_alh","CG10863"
"Moe",2.95967355467019e-28,-1.87177266417486,0.038,0.26,3.78779021526691e-24,"atlas_1h_alh","Moe"
"eEF2",3.30776783766064e-28,-1.41593817812857,0.145,0.389,4.23328127863808e-24,"atlas_1h_alh","eEF2"
"Hrb27C",4.53045538194564e-28,-1.11093266567211,0.323,0.556,5.79807679781403e-24,"atlas_1h_alh","Hrb27C"
"cathD",6.3709182654098e-28,-1.69891912559397,0.069,0.298,8.15350119607146e-24,"atlas_1h_alh","cathD"
"RabX1",9.39346041463319e-28,-2.11981212779956,0.02,0.228,1.20217506386476e-23,"atlas_1h_alh","RabX1"
"glob1",2.07228608992763e-27,1.01894322082299,0.147,0.039,2.65211173788938e-23,"atlas_1h_alh","glob1"
"ND-ASHI",3.82144536200165e-27,1.10936173105836,0.265,0.104,4.89068577428972e-23,"atlas_1h_alh","ND-ASHI"
"CG30172",8.38870470540796e-27,1.3493165495741,0.277,0.117,1.07358642819811e-22,"atlas_1h_alh","CG30172"
"Hsc70Cb",1.41053921312438e-26,-1.37441051409628,0.129,0.368,1.80520808495659e-22,"atlas_1h_alh","Hsc70Cb"
"CG32354",2.14907266924907e-26,-1.74620296200145,0.016,0.218,2.75038320210496e-22,"atlas_1h_alh","CG32354"
"Liprin-gamma",3.71813938217257e-26,0.898337307635564,0.681,0.501,4.75847478130445e-22,"atlas_1h_alh","Liprin-gamma"
"CG9034",4.85302886412186e-26,0.927809862259939,0.368,0.176,6.21090634030316e-22,"atlas_1h_alh","CG9034"
"AANATL2",7.17338897751226e-26,1.37953083392382,0.206,0.072,9.18050321342019e-22,"atlas_1h_alh","AANATL2"
"Spn43Ab",8.05924051231114e-26,0.98390153812856,0.186,0.06,1.03142160076558e-21,"atlas_1h_alh","Spn43Ab"
"E23",8.83031474742398e-26,0.868373765457875,0.184,0.058,1.13010368137532e-21,"atlas_1h_alh","E23"
"CG13364",9.19727805628362e-26,1.02753333606509,0.497,0.299,1.17706764564318e-21,"atlas_1h_alh","CG13364"
"mt:ND4",2.61050373100383e-25,-1.15440943855165,0.204,0.435,3.3409226749387e-21,"atlas_1h_alh","mt:ND4"
"Gdi",3.06970478517263e-25,-1.49872867332606,0.077,0.293,3.92860818406394e-21,"atlas_1h_alh","Gdi"
"CG9705",3.26553191918076e-25,-1.82855098854907,0.032,0.231,4.17922775016753e-21,"atlas_1h_alh","CG9705"
"PPP4R2r",3.68210933054039e-25,-1.75460107272311,0.042,0.245,4.71236352122559e-21,"atlas_1h_alh","PPP4R2r"
"ATPsynB",5.93561825697081e-25,0.931771283596177,0.501,0.308,7.59640424527125e-21,"atlas_1h_alh","ATPsynB"
"osp",6.2804404368431e-25,-1.7617998896892,0.051,0.255,8.03770767107179e-21,"atlas_1h_alh","osp"
"Argk",6.57456157992641e-25,-1.1998559828313,0.263,0.476,8.41412390998982e-21,"atlas_1h_alh","Argk"
"Ace",8.69617092910363e-25,-1.23945333064234,0.238,0.467,1.11293595550668e-20,"atlas_1h_alh","Ace"
"Eip63E",1.21144606308639e-24,-1.38584866998675,0.131,0.353,1.55040867153796e-20,"atlas_1h_alh","Eip63E"
"pAbp",1.39707809854977e-24,-0.213696062919346,0.727,0.875,1.787980550524e-20,"atlas_1h_alh","pAbp"
"GstD1",4.90749156631254e-24,-1.33841083445395,0.154,0.372,6.28060770656679e-20,"atlas_1h_alh","GstD1"
"mt:tRNA:Ser-GCT",2.00813770307554e-23,-1.56525448079531,0.067,0.271,2.57001463239608e-19,"atlas_1h_alh","mt:tRNA:Ser-GCT"
"sqd",2.30609376375647e-23,-1.17446247374567,0.228,0.442,2.95133879885553e-19,"atlas_1h_alh","sqd"
"CAH1",2.82736686062737e-23,0.891085410816381,0.505,0.295,3.61846410823091e-19,"atlas_1h_alh","CAH1"
"BI-1",4.17982314244575e-23,0.932281993262657,0.158,0.049,5.34933765770207e-19,"atlas_1h_alh","BI-1"
"CtBP",8.65138017440433e-23,-1.33627058255139,0.158,0.366,1.10720363472027e-18,"atlas_1h_alh","CtBP"
"SdhD",8.79419898759127e-23,0.940194800419712,0.232,0.092,1.12548158643193e-18,"atlas_1h_alh","SdhD"
"ATPsyngamma",1.05746981196808e-22,0.973643412238334,0.428,0.248,1.35334986535675e-18,"atlas_1h_alh","ATPsyngamma"
"ND-B12",1.38527370173822e-22,0.96058857522976,0.408,0.227,1.77287328348458e-18,"atlas_1h_alh","ND-B12"
"Rho1",1.48890498356666e-22,-1.36517691796145,0.109,0.317,1.90550059796862e-18,"atlas_1h_alh","Rho1"
"E2f1",2.181595653118e-22,-1.48545864170181,0.057,0.251,2.79200611686042e-18,"atlas_1h_alh","E2f1"
"Cngl",2.69933049439152e-22,1.43189468894886,0.216,0.086,3.45460316672227e-18,"atlas_1h_alh","Cngl"
"Unr",3.53805078618644e-22,-1.21367544679805,0.156,0.371,4.5279973961614e-18,"atlas_1h_alh","Unr"
"ATPsyndelta",4.17993636680642e-22,0.958431347004256,0.406,0.225,5.34948256223886e-18,"atlas_1h_alh","ATPsyndelta"
"CG16743",4.50233660812937e-22,1.19605237058203,0.214,0.085,5.76209039108396e-18,"atlas_1h_alh","CG16743"
"Hsp26",4.83370126305299e-22,-2.15924780273983,0.036,0.216,6.18617087645522e-18,"atlas_1h_alh","Hsp26"
"CG12290",5.10019038188577e-22,-1.70711565564031,0.051,0.237,6.52722365073741e-18,"atlas_1h_alh","CG12290"
"CG14989",5.93804912526778e-22,1.56865425805619,0.406,0.217,7.5995152705177e-18,"atlas_1h_alh","CG14989"
"HDAC4",6.38683514380157e-22,1.00367932262087,0.198,0.074,8.17387161703725e-18,"atlas_1h_alh","HDAC4"
"PIG-T",7.68538920104361e-22,-1.32836087446817,0.119,0.323,9.83576109949561e-18,"atlas_1h_alh","PIG-T"
"CG15210",8.12982810693743e-22,-1.78966909093779,0.004,0.166,1.04045540112585e-17,"atlas_1h_alh","CG15210"
"chic",9.23148373850951e-22,-1.30471019745155,0.105,0.31,1.18144528885445e-17,"atlas_1h_alh","chic"
"CycG",9.27457118521091e-22,-1.32735052649871,0.105,0.307,1.18695962028329e-17,"atlas_1h_alh","CycG"
