"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG1943.6",0,0.503641729769816,0.601,0.115,0,"33","CG1943"
"Rpn8",0,0.503073379907375,0.367,0.047,0,"33","Rpn8"
"eIF6",0,0.50262795234306,0.332,0.035,0,"33","eIF6"
"eIF2Bgamma",0,0.502562380405495,0.247,0.018,0,"33","eIF2Bgamma"
"Top2.1",0,0.502408375723016,0.368,0.048,0,"33","Top2"
"Cdk1.1",0,0.502009637437956,0.288,0.03,0,"33","Cdk1"
"CG7728",0,0.500265139738812,0.173,0.008,0,"33","CG7728"
"Taf12L",0,0.498067801482569,0.149,0.002,0,"33","Taf12L"
"CG3776",0,0.496426063124186,0.295,0.032,0,"33","CG3776"
"CG13018",0,0.496335722767283,0.252,0.022,0,"33","CG13018"
"dgt2",0,0.495926454964052,0.206,0.014,0,"33","dgt2"
"Nup43",0,0.495442017946603,0.232,0.016,0,"33","Nup43"
"Mcm3",0,0.494371628866302,0.169,0.006,0,"33","Mcm3"
"CCT1",0,0.494063376096896,0.389,0.052,0,"33","CCT1"
"CG30122",0,0.492884731974321,0.408,0.053,0,"33","CG30122"
"Rpi",0,0.492647488972941,0.415,0.059,0,"33","Rpi"
"rumi",0,0.49058819871694,0.209,0.014,0,"33","rumi"
"Ccdc58",0,0.490136694435909,0.441,0.062,0,"33","Ccdc58"
"thr",0,0.489940436980659,0.169,0.005,0,"33","thr"
"rho-7",0,0.489474237781924,0.242,0.021,0,"33","rho-7"
"CG32095",0,0.487904138820879,0.22,0.016,0,"33","CG32095"
"TfIIA-S.3",0,0.487444498771384,0.639,0.135,0,"33","TfIIA-S"
"Rpn3",0,0.486431818899166,0.371,0.047,0,"33","Rpn3"
"tws.5",0,0.483784097487434,0.658,0.14,0,"33","tws"
"e(y)1",0,0.482917749440889,0.24,0.023,0,"33","e(y)1"
"Rrp4",0,0.481338475245452,0.225,0.019,0,"33","Rrp4"
"RpII15",0,0.481047034090453,0.304,0.032,0,"33","RpII15"
"TFAM",0,0.480604813671562,0.27,0.026,0,"33","TFAM"
"Noa36",0,0.480566181445845,0.241,0.02,0,"33","Noa36"
"Alg-2",0,0.480033540452946,0.522,0.091,0,"33","Alg-2"
"ND-24.2",0,0.477908494817304,0.488,0.083,0,"33","ND-24"
"mei-38",0,0.477618764741982,0.149,0.003,0,"33","mei-38"
"tzn",0,0.477574007427029,0.317,0.037,0,"33","tzn"
"mRpS21",0,0.476256415337755,0.499,0.087,0,"33","mRpS21"
"corto",0,0.475659353324174,0.659,0.139,0,"33","corto"
"AGO2.7",0,0.475626500273792,0.599,0.117,0,"33","AGO2"
"Srp19",0,0.475054541279605,0.37,0.05,0,"33","Srp19"
"SerRS",0,0.474948095346452,0.33,0.04,0,"33","SerRS"
"Rnp4F",0,0.474035691446235,0.299,0.031,0,"33","Rnp4F"
"BEAF-32",0,0.473347268771283,0.362,0.051,0,"33","BEAF-32"
"mRpL45",0,0.473315011722374,0.173,0.01,0,"33","mRpL45"
"Rpn10",0,0.473064400975435,0.401,0.06,0,"33","Rpn10"
"SP1173.5",0,0.471848023262411,0.409,0.065,0,"33","SP1173"
"RfC38",0,0.471579854399749,0.203,0.012,0,"33","RfC38"
"CG9107",0,0.469793158127479,0.246,0.023,0,"33","CG9107"
"CG15922",0,0.468536442463014,0.405,0.055,0,"33","CG15922"
"CG7332",0,0.468226649613727,0.336,0.038,0,"33","CG7332"
"mRpL54",0,0.466271978428889,0.354,0.048,0,"33","mRpL54"
"Dip-B",0,0.46548244552337,0.284,0.031,0,"33","Dip-B"
"Snr1",0,0.464848475423189,0.396,0.056,0,"33","Snr1"
"CG30105",0,0.464262906254225,0.228,0.018,0,"33","CG30105"
"TfIIFbeta",0,0.464186947136562,0.319,0.04,0,"33","TfIIFbeta"
"Rpn5",0,0.463409955686612,0.456,0.071,0,"33","Rpn5"
"Fs(2)Ket.1",0,0.462807921680924,0.535,0.087,0,"33","Fs(2)Ket"
"mRpL12.1",0,0.460388517402381,0.443,0.069,0,"33","mRpL12"
"U4-U6-60K",0,0.460222547938485,0.173,0.009,0,"33","U4-U6-60K"
"CG13366",0,0.459815898442131,0.236,0.022,0,"33","CG13366"
"DNAlig1",0,0.459581516615329,0.186,0.008,0,"33","DNAlig1"
"CG32625",0,0.459555845698819,0.137,0.004,0,"33","CG32625"
"CG9344",0,0.458215875861604,0.555,0.107,0,"33","CG9344"
"CG16753",0,0.457824216056046,0.222,0.017,0,"33","CG16753"
"ALiX.2",0,0.456937469692869,0.354,0.05,0,"33","ALiX"
"ase",0,0.456388256995826,0.208,0.015,0,"33","ase"
"mbf1.1",0,0.452261260746176,0.41,0.056,0,"33","mbf1"
"BubR1",0,0.451853976975414,0.152,0.007,0,"33","BubR1"
"Fdh",0,0.451500895019699,0.394,0.053,0,"33","Fdh"
"Kyat",0,0.451340200066483,0.232,0.023,0,"33","Kyat"
"AIMP1",0,0.450967536526432,0.3,0.033,0,"33","AIMP1"
"insv",0,0.450470066569254,0.147,0.007,0,"33","insv"
"spt4",0,0.449616214403617,0.405,0.059,0,"33","spt4"
"Dad1.2",0,0.449162620933461,0.648,0.141,0,"33","Dad1"
"CG13994",0,0.448867791986891,0.279,0.031,0,"33","CG13994"
"CG12134",0,0.446407246507944,0.16,0.008,0,"33","CG12134"
"Bub3",0,0.446285061697878,0.276,0.029,0,"33","Bub3"
"Ski6",0,0.445839934561435,0.205,0.016,0,"33","Ski6"
"CG4281",0,0.444685967659999,0.213,0.016,0,"33","CG4281"
"mRpS34",0,0.444583030102891,0.254,0.026,0,"33","mRpS34"
"CG6695",0,0.444245895502171,0.163,0.012,0,"33","CG6695"
"CG3909",0,0.444047200648311,0.237,0.022,0,"33","CG3909"
"CG7834.3",0,0.443450496555458,0.4,0.058,0,"33","CG7834"
"vsg.1",0,0.441873213297248,0.389,0.056,0,"33","vsg"
"mRpL49",0,0.43993300561018,0.342,0.05,0,"33","mRpL49"
"Ip259.3",0,0.438994924194575,0.643,0.141,0,"33","Ip259"
"mRpL30",0,0.438587458826961,0.377,0.054,0,"33","mRpL30"
"Brd8",0,0.437938709268496,0.29,0.031,0,"33","Brd8"
"Diap2",0,0.437854389174508,0.247,0.024,0,"33","Diap2"
"Hlc",0,0.437450677545318,0.24,0.021,0,"33","Hlc"
"Cpsf100",0,0.43722468573629,0.188,0.013,0,"33","Cpsf100"
"CG10465",0,0.436366585398386,0.334,0.039,0,"33","CG10465"
