"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SK",2.02938747671056e-17,0.579749009098792,0.163,0.057,2.59721009269417e-13,"atlas_24h_alh","SK"
"lncRNA:noe.1",3.82281823881719e-17,0.219984271988081,0.544,0.328,4.89244278203824e-13,"atlas_24h_alh","lncRNA:noe"
"Mcm7.1",3.99779077455971e-17,0.420089111635577,0.186,0.071,5.11637263328151e-13,"atlas_24h_alh","Mcm7"
"Paf-AHalpha.1",5.79141171482284e-17,0.40648846464434,0.232,0.104,7.41184871263027e-13,"atlas_24h_alh","Paf-AHalpha"
"pros.1",7.47059295035811e-17,0.746373794378832,0.359,0.2,9.56086485786831e-13,"atlas_24h_alh","pros"
"Vha55.1",1.24752713799069e-16,0.303501828000236,0.408,0.23,1.59658523120049e-12,"atlas_24h_alh","Vha55"
"RpS21",1.37013147970161e-16,0.204029550086492,0.967,0.843,1.75349426772212e-12,"atlas_24h_alh","RpS21"
"CASK",1.47691170614596e-16,0.409742723934745,0.304,0.157,1.8901516015256e-12,"atlas_24h_alh","CASK"
"wdp.1",1.90447165278873e-16,0.219400571161871,0.373,0.199,2.43734282123902e-12,"atlas_24h_alh","wdp"
"CG8369",1.98442548565158e-16,0.537502057991593,0.194,0.079,2.53966773653689e-12,"atlas_24h_alh","CG8369"
"mt:ND3.1",2.32812439898869e-16,0.437164116037024,0.166,0.061,2.97953360582573e-12,"atlas_24h_alh","mt:ND3"
"CG12054",2.33725258817568e-16,0.544481964977595,0.158,0.057,2.99121586234723e-12,"atlas_24h_alh","CG12054"
"Sxl.1",2.41505016945627e-16,0.402599119737101,0.219,0.097,3.09078120687014e-12,"atlas_24h_alh","Sxl"
"AdamTS-B",2.7815054514449e-16,0.378869533055356,0.386,0.219,3.55977067675919e-12,"atlas_24h_alh","AdamTS-B"
"mt:ATPase6.1",3.19835959594586e-16,0.234557037637199,0.85,0.634,4.09326061089151e-12,"atlas_24h_alh","mt:ATPase6"
