"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CG14439",1.41030376329211e-27,-0.121025419101031,0.258,0.22,2.82060752658422e-24
"Mob2",1.575910046366e-27,-0.125359906714306,0.281,0.227,3.151820092732e-24
"Kank",2.4056456490002e-27,-0.285558037399261,0.214,0.324,4.81129129800039e-24
"RASSF8",3.84116167860712e-27,-0.273262830339438,0.234,0.34,7.68232335721424e-24
"nkd",4.14882925134332e-27,-0.634733718086715,0.519,0.643,8.29765850268664e-24
"hoe1",4.67236138862933e-27,-0.101398438433582,0.369,0.465,9.34472277725867e-24
"CG15083",4.89568215501742e-27,-0.192044314739311,0.263,0.361,9.79136431003483e-24
"tnc",5.51609509563033e-27,0.121428142872714,0.317,0.42,1.10321901912607e-23
"CCAP-R",9.00652871246646e-27,-0.104755733298396,0.269,0.351,1.80130574249329e-23
"DNApol-alpha60",1.05482027099807e-26,0.287615283868528,0.243,0.347,2.10964054199613e-23
"RpS3A",1.19858587497193e-26,-0.344537359488994,0.91,0.94,2.39717174994386e-23
"Cdc6",1.21850925700413e-26,0.159844533862259,0.253,0.195,2.43701851400827e-23
"trr",1.41974022244704e-26,0.147996090984641,0.271,0.212,2.83948044489408e-23
"RpS9",2.67083520392156e-26,-0.278576351121326,0.95,0.961,5.34167040784312e-23
"Hsp23",2.77203295038325e-26,0.399867220318097,0.5,0.42,5.5440659007665e-23
"Msp300",4.62849752630139e-26,-0.420478259331624,0.564,0.675,9.25699505260278e-23
"bon",5.86037598686638e-26,0.105052938230981,0.198,0.14,1.17207519737328e-22
"CG43658",6.04121039604518e-26,-0.683262182129443,0.41,0.551,1.20824207920904e-22
"cpo",8.4391023337975e-26,-0.580356986184452,0.446,0.55,1.6878204667595e-22
"Nmdmc",2.19591880058579e-25,-0.319265215111448,0.316,0.388,4.39183760117157e-22
"Mcm7",2.27246071425846e-25,0.700966866272731,0.675,0.647,4.54492142851693e-22
"RpS13",2.29489046511277e-25,-0.221625674356738,0.985,0.987,4.58978093022555e-22
"Hsp60A",3.02275542976347e-25,-0.336866793078501,0.229,0.355,6.04551085952694e-22
"RpL37a",3.20102920777868e-25,-0.268272547480918,0.942,0.966,6.40205841555735e-22
"vito",3.40070114366452e-25,-0.248569454887908,0.284,0.402,6.80140228732905e-22
"CG14984",3.96103000416336e-25,-0.343301235202927,0.238,0.186,7.92206000832672e-22
"pot",4.78514504762695e-25,-0.662270357785209,0.274,0.37,9.5702900952539e-22
"CG12239",7.73216928247432e-25,0.467912431062533,0.425,0.497,1.54643385649486e-21
"ham",1.08108905494477e-24,0.877395990679271,0.365,0.333,2.16217810988954e-21
"CG42709",1.43605164967959e-24,0.913774053730073,0.368,0.336,2.87210329935918e-21
"shot",1.69666882601138e-24,-0.69072399477941,0.249,0.382,3.39333765202275e-21
"Cnb",1.89326599425441e-24,0.116754509387114,0.212,0.158,3.78653198850882e-21
"mthl5",2.44611656386581e-24,-0.138392777108633,0.287,0.226,4.89223312773163e-21
"lncRNA:CR43432",3.47112955582024e-24,-0.146239559244106,0.132,0.136,6.94225911164048e-21
"RpL29",4.5123121093647e-24,-0.133346863353968,0.998,0.999,9.02462421872941e-21
"Uhg1",4.57702629481341e-24,-0.243356597287702,0.143,0.262,9.15405258962682e-21
"CG5787",5.46033515083806e-24,0.266619105348821,0.224,0.335,1.09206703016761e-20
"spoon",6.17655782335029e-24,-0.227802977785421,0.355,0.468,1.23531156467006e-20
"Shmt",7.00778165225266e-24,-0.355767355424373,0.216,0.336,1.40155633045053e-20
"Ssrp",7.11594726221767e-24,0.333854209296031,0.346,0.497,1.42318945244353e-20
"Btk29A",9.51526114197078e-24,-0.328941711776105,0.218,0.363,1.90305222839416e-20
"Ptp61F",1.08113207054625e-23,-0.120776530960441,0.281,0.228,2.16226414109251e-20
"RpL23",1.44626713103443e-23,-0.161555631516828,0.971,0.969,2.89253426206887e-20
"Mdh1",1.47098992128217e-23,-0.283196319974629,0.33,0.427,2.94197984256433e-20
"RpL7A",1.6729930504503e-23,-0.308421204352566,0.907,0.943,3.3459861009006e-20
"RpL18",1.82566370943553e-23,-0.426586767610136,0.915,0.935,3.65132741887105e-20
"kn",2.21538849046733e-23,0.200101014386914,0.299,0.388,4.43077698093465e-20
"NetA",2.84332344653515e-23,0.212185962855963,0.226,0.353,5.68664689307031e-20
"SPoCk",3.75823042222501e-23,0.103668152436652,0.208,0.161,7.51646084445001e-20
"CG40472",3.81834630926886e-23,0.166088529427974,0.133,0.092,7.63669261853773e-20
"CG6310",4.11595131378787e-23,-0.193945341123486,0.304,0.377,8.23190262757573e-20
"RpL26",9.47326488681164e-23,-0.24729864398841,0.972,0.975,1.89465297736233e-19
"E23",1.41397124482568e-22,-0.11648667014134,0.3,0.373,2.82794248965135e-19
"Msr-110",2.21599861099201e-22,-0.178417404306197,0.243,0.342,4.43199722198401e-19
"CycA",2.59372700380299e-22,0.432486651827208,0.284,0.392,5.18745400760597e-19
"path",2.87019157180008e-22,-0.485217015189975,0.664,0.777,5.74038314360017e-19
"Nfs1",3.11406318893721e-22,-0.114336195498589,0.214,0.3,6.22812637787442e-19
"RpL35A",3.70336603629276e-22,-0.463217044782047,0.845,0.894,7.40673207258552e-19
"esg",4.0530836536946e-22,-0.316694380790849,0.235,0.201,8.10616730738919e-19
"RpL31",4.11285718194189e-22,-0.25999546392498,0.885,0.928,8.22571436388379e-19
"cdc14",5.67992846766776e-22,-0.430287014328888,0.229,0.339,1.13598569353355e-18
"Nep1",1.53389583896672e-21,0.108960132559019,0.284,0.249,3.06779167793345e-18
"Vsx1",1.61654141244598e-21,-0.177448774545109,0.234,0.316,3.23308282489196e-18
"be",1.75067687303836e-21,-0.200400676971948,0.159,0.247,3.50135374607672e-18
"HipHop",1.85081245145646e-21,0.27912583439947,0.153,0.249,3.70162490291293e-18
"Rbfox1",2.25368437032599e-21,0.191262409480023,0.948,0.923,4.50736874065198e-18
"SP1029",3.89794679216125e-21,-0.13563900221665,0.237,0.321,7.7958935843225e-18
"CG11791",5.65722100131049e-21,0.17573181759391,0.358,0.318,1.1314442002621e-17
"RpL7",5.90394225968343e-21,-0.261043320292895,0.929,0.955,1.18078845193669e-17
"RpS7",6.59883398244704e-21,-0.235481525911121,0.961,0.976,1.31976679648941e-17
