"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CG4866",0.000968079401503364,-0.126329231928387,0.222,0.158,1
"CG4570",0.000979873820763727,0.307555542473913,0.177,0.1,1
"CG31690",0.000988096529318404,-0.883985833871493,0.175,0.128,1
"cl",0.000992669221532481,-0.190889096128798,0.272,0.247,1
"apt",0.000992762076342962,0.212138710511003,0.213,0.136,1
"E(spl)mdelta-HLH",0.00100085422135623,0.122496659525971,0.152,0.117,1
"tup",0.00103300530660153,-0.236097917651893,0.261,0.193,1
"CG43324",0.00108743464184252,-0.120156994296106,0.194,0.124,1
"RnrL",0.00112288660581736,0.298978688832914,0.163,0.082,1
"ytr",0.00112732798316223,0.707291826020177,0.236,0.147,1
"CG9034",0.00120575772957694,-0.157958625034074,0.338,0.259,1
"nclb",0.00131092365010522,0.147970390443504,0.243,0.18,1
"Tom",0.00152743534004366,0.102827788513515,0.171,0.137,1
"Toll-7",0.00155245640333008,-0.641506787128743,0.615,0.561,1
"hig",0.0015534723731255,-0.14582350157486,0.194,0.124,1
"CG13067",0.00163510023046363,-0.127021422311969,0.274,0.208,1
"zfh1",0.00165428189294891,-0.339682132869692,0.291,0.217,1
"Rbp6",0.00176087464302743,-0.3537868536084,0.414,0.32,1
"CG13373",0.00179342395454937,0.168271876061893,0.176,0.089,1
"pr",0.00193742843584583,-0.143647898079399,0.152,0.082,1
"nrv3",0.00195493901181045,-0.680257650175008,0.464,0.44,1
"mbl",0.00243661823834106,0.101274777869523,0.425,0.313,1
"CG3168",0.00253087092232339,-0.102387180558731,0.17,0.148,1
"trn",0.00256448933794204,-0.454510457890064,0.623,0.568,1
"Incenp",0.0027640307911511,0.479793946334836,0.206,0.183,1
"Hex-A",0.00319005297098756,-0.214683406936571,0.407,0.326,1
"CG4281",0.00320407782458906,0.115842839675084,0.152,0.119,1
"CG3594",0.00320690422643981,0.165099568318669,0.218,0.144,1
"Psi",0.00327363195878009,-0.130847262513222,0.286,0.212,1
"mtSSB",0.00347524637329327,0.25400594406514,0.221,0.146,1
"CG17124",0.00361256575492796,-0.375146454284423,0.298,0.268,1
"CG30159",0.00361631653488795,0.330623823712416,0.166,0.135,1
"DOR",0.0038424166140855,-0.45410143202385,0.3,0.235,1
"Start1",0.00385591254742692,-0.123893944415371,0.164,0.141,1
"dUTPase",0.00401314497209813,0.53389673455351,0.334,0.242,1
"WRNexo",0.00410508956614304,0.362436115187834,0.229,0.153,1
"Picot",0.00421795337027121,0.143722988287123,0.233,0.165,1
"mew",0.00436924732830647,-0.10357390115822,0.202,0.173,1
"cpo",0.00463619530415401,-0.402943247813148,0.31,0.232,1
"CG43759",0.00505417774142283,-1.19641682341035,0.334,0.329,1
"Prosalpha4",0.00520295102139391,0.179572580688847,0.232,0.154,1
"RfC4",0.00527569895544173,0.17180256271706,0.242,0.168,1
"CG9752",0.00590025067215643,0.317408121017256,0.237,0.166,1
"mRpS30",0.00608620420800229,0.137654083216215,0.233,0.169,1
"Cys",0.00625757177121325,-0.196852016581765,0.216,0.197,1
"scramb1",0.00633331918186925,-0.16447091805954,0.26,0.197,1
"CG32354",0.00656845176105608,0.16061221145987,0.253,0.195,1
"CG10479",0.00669557693317499,-0.491968886572923,0.191,0.129,1
"pHCl-1",0.00720922917323528,-0.147869909016625,0.165,0.131,1
"Gbs-76A",0.00734025642177424,-0.203265747326704,0.201,0.139,1
"Eip93F",0.00763127996096369,0.2656014816736,0.153,0.114,1
"PICK1",0.00765752834388104,-0.118779923861026,0.126,0.055,1
"l(2)37Cc",0.00954165082744286,0.232087968497633,0.252,0.184,1
"Ent2",0.00962776614420986,0.185124320827834,0.202,0.133,1
"Lmx1a",0.00972008503258287,-0.456687275103247,0.27,0.2,1
"CG17816",0.0109682955368357,-0.281217785802103,0.249,0.19,1
"loco",0.0111773401640896,0.103753947067096,0.185,0.105,1
"fz2",0.0115237630923034,-0.339701194144459,0.425,0.394,1
"CG32486",0.0116847785213504,-0.198604349120845,0.185,0.12,1
"HLH4C",0.012191336159747,-0.265010507171043,0.14,0.138,1
"CG12171",0.0125240578691436,-0.100012815038702,0.151,0.121,1
"Col4a1",0.0126938147248795,-0.110208551584981,0.258,0.2,1
"dysc",0.0128391205238567,0.132995731551673,0.268,0.195,1
"psq",0.0128449511635814,-0.157170129384052,0.438,0.348,1
"Den1",0.0133215035865981,-0.188085081735587,0.259,0.199,1
"aos",0.0136107315126236,0.198019847975738,0.204,0.118,1
