"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tpi",7.25374942623675e-22,1.6705810875165,0.8,0.513,9.2833485156978e-18,"atlas_1h_alh","Tpi"
"levy",1.70834756159177e-21,1.38569638359371,0.829,0.581,2.18634320932514e-17,"atlas_1h_alh","levy"
"Neb-cGP",1.8322308041142e-21,1.56773453175169,0.771,0.506,2.34488898310536e-17,"atlas_1h_alh","Neb-cGP"
"Npc2a",2.86902813606525e-21,2.52511239783019,0.557,0.188,3.6717822085363e-17,"atlas_1h_alh","Npc2a"
"Gapdh2",1.60059901006559e-20,1.10980595345103,0.964,0.842,2.04844661308194e-16,"atlas_1h_alh","Gapdh2"
"lncRNA:CR40469",4.29148113700872e-20,-1.85611133676308,0.25,0.696,5.49223755914377e-16,"atlas_1h_alh","lncRNA:CR40469"
"lncRNA:noe",9.66417587526462e-20,-3.62553813081652,0.036,0.469,1.23682122851637e-15,"atlas_1h_alh","lncRNA:noe"
"ATPsynG",1.43510240997497e-19,1.40204057335357,0.829,0.586,1.83664406428597e-15,"atlas_1h_alh","ATPsynG"
"CG34200",2.31939132592605e-19,1.58916328923167,0.636,0.277,2.96835701892016e-15,"atlas_1h_alh","CG34200"
"COX4",2.50373264674127e-19,1.37333536560711,0.779,0.451,3.20427704129948e-15,"atlas_1h_alh","COX4"
"COX7C",4.01524537766365e-19,1.31459035941035,0.821,0.574,5.13871103433393e-15,"atlas_1h_alh","COX7C"
"ND-MLRQ",4.29864961447332e-19,1.42084647609315,0.757,0.471,5.50141177660295e-15,"atlas_1h_alh","ND-MLRQ"
"Tsp66E",7.74422233891841e-19,1.83082218450377,0.421,0.103,9.91105574934778e-15,"atlas_1h_alh","Tsp66E"
"bel",1.47796495510275e-18,1.55104573896776,0.721,0.426,1.8914995495405e-14,"atlas_1h_alh","bel"
"COX5B",1.97570735637446e-18,1.3139038132646,0.757,0.506,2.52851027468804e-14,"atlas_1h_alh","COX5B"
"Gapdh1",2.81236991387694e-18,1.29352806099578,0.879,0.677,3.59927101577971e-14,"atlas_1h_alh","Gapdh1"
"Akap200",7.12845551687884e-18,-2.59365246474421,0.079,0.478,9.12299737050154e-14,"atlas_1h_alh","Akap200"
"Tsp42Ea",1.74292891913828e-17,2.61178518507051,0.371,0.087,2.23060043071318e-13,"atlas_1h_alh","Tsp42Ea"
"Hex-A",2.77553132578892e-17,1.88792441471689,0.621,0.27,3.55212499074467e-13,"atlas_1h_alh","Hex-A"
"Df31",4.54190790310273e-17,-2.23791800515389,0.121,0.51,5.81273373439088e-13,"atlas_1h_alh","Df31"
"Eglp2",5.28068790576508e-17,1.83412693197409,0.229,0.021,6.75822438179815e-13,"atlas_1h_alh","Eglp2"
"CG15093",6.51209645500285e-17,2.00458277419343,0.557,0.249,8.33418104311265e-13,"atlas_1h_alh","CG15093"
"SdhC",6.52769383516773e-17,1.66534158285956,0.557,0.224,8.35414257024766e-13,"atlas_1h_alh","SdhC"
"CG9034",1.22892955513653e-16,1.44681848071291,0.579,0.236,1.57278404466373e-12,"atlas_1h_alh","CG9034"
"mt:Cyt-b",2.50352553298814e-16,-1.33615063399578,0.529,0.796,3.20401197711822e-12,"atlas_1h_alh","mt:Cyt-b"
"14-3-3zeta",2.97799523099558e-16,-0.999078328154131,0.764,0.931,3.81123829662814e-12,"atlas_1h_alh","14-3-3zeta"
"CG34136",6.63514657819666e-16,1.51681969076689,0.164,0.005,8.49166059077608e-12,"atlas_1h_alh","CG34136"
"mt:ATPase6",7.60984778708269e-16,-1.42365368926688,0.479,0.757,9.73908319790843e-12,"atlas_1h_alh","mt:ATPase6"
"GstE6",8.87567742601508e-16,1.83035384623078,0.414,0.124,1.13590919698141e-11,"atlas_1h_alh","GstE6"
"ND-B15",1.81820652287758e-15,1.53709040733823,0.543,0.224,2.32694070797872e-11,"atlas_1h_alh","ND-B15"
"roh",2.44596386651781e-15,1.29130199747406,0.743,0.497,3.13034455636949e-11,"atlas_1h_alh","roh"
"CG7888",3.90639668664441e-15,1.87798874390741,0.3,0.059,4.99940647956752e-11,"atlas_1h_alh","CG7888"
"sesB",4.07179230494791e-15,1.08846991071366,0.871,0.719,5.21107979187234e-11,"atlas_1h_alh","sesB"
"CG9628",5.81003326152329e-15,1.83200889850874,0.257,0.039,7.43568056809751e-11,"atlas_1h_alh","CG9628"
"mamo",8.40625955683341e-15,-2.92019897015151,0,0.332,1.07583309808354e-10,"atlas_1h_alh","mamo"
"CG3746",1.25319999846158e-14,1.36450059552667,0.421,0.124,1.60384535803112e-10,"atlas_1h_alh","CG3746"
"Syp",1.43546708559766e-14,-2.59062857715372,0,0.327,1.83711077614789e-10,"atlas_1h_alh","Syp"
"ATPsynB",1.57317646695631e-14,1.29841229659112,0.721,0.451,2.01335124241068e-10,"atlas_1h_alh","ATPsynB"
"path",2.46609368588359e-14,-2.29081325981468,0.15,0.49,3.15610669919382e-10,"atlas_1h_alh","path"
"Vha13",3.01287791041485e-14,1.11682504339567,0.75,0.497,3.85588114974893e-10,"atlas_1h_alh","Vha13"
